campsites,year
"BC(09/04),ABC(16/04,6400m),C1(25/04,7100m),C2(26/04,7700m),C3(28/04,8300m),Smt(23/05)",2001
"BC(15/04),ABC(20/04,6400m),C1(02/05,7000m),Smt(22/05)",2001
"BC(14/04),C3(??/05),Smt(23/05)",2001
"BC(22/04),ABC(26/04,6400m),C1(29/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2001
"BC(07/04,5200m),ABC(13/04,6400m),C1(20/04,7060m),C2(20/05,7700m),C3(21/05,8300m),Smt(22,24/05)",2001
"BC(05/04),ABC(10/04,6400m),C1(18/04,7000m),C2(23/04,7900m),C3(21/05,8300m),Smt(22-23,26/05)",2001
"BC(09/05,11,5200m),ABC(13/05,6450),C1(19/05,7050m),C2A(20/05,7600m),C2B(7700m),C3(21/05,8200m),Smt(22-23/05)",2001
"BC(10/04,5400m),ABC(12/04,6400m),C1(14/05,7200m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",2002
"BC(10/04,5200m),BC(13/04,5700m),ABC(14/04,6300m),C1(17/04,7000m),C2(04/05,7500m),C3(05/05,7700m),C4(15/05,8300m),Smt(16,18/05)",2002
"BC(03/04,5200m),IntC(10/04,6000m),ABC(11/04,6400m),C1(03/05,7020m),C2(08/05,7700m),C3(16/05,8400m),Smt(17/05)",2002
"BC(11/04,5100m),IBC(14/04,5800m),ABC(15/04,6400m),C1(19/04,7000m),C2(05/05,7800m),C3(16/05,8300m),Smt(17/05)",2002
"TempBC(11/04,5100m),IntC(14/04,5800m),ABC(15/04,6400m),C1(02/05,7000m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",2002
"BC(11/04,5100m),TempBC(14/04,5800m),ABC(15/04,6400m),C1(19/04,7000m),C2(05/05,7800m),C3(16/05,8300m),Smt(17/05)",2002
"BC(11/04,5200m),IBC(14/04,6800m),ABC(15/04,6400m),C1(19/04,7100m),C2(04/05,7600m),C3(15/05,7800m),C4(16/05,8300m),Smt(17/05)",2002
"BC(11/04),ABC(16/04,6400m),C1(28/04,7000m),C2(15/05,7800m),C3(16/05,8300m),Smt(17/05)",2002
"BC(11/03,5200m),ABC(11/04,6500m),C1(24/04,7028m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",2002
